,overall_std,overall_cv,relative_stability,linear_slope,linear_r_squared,linear_p_value,avg_within_std,spearman_correlation,spearman_p_value,max_plateau_length,n_timesteps,score_range
synth-coupled_gin_structFalse,0.03447247756479983,0.27910481392093817,3.5828833833130136,0.004931415796285047,0.550832460109652,0.000420588400104582,0.012510541151972535,0.7956656346749225,7.86687183973289e-05,1.0,18.0,0.13865394766632821
synth-feature_gin_structFalse,0.03332646863519101,-0.14551952968662232,inf,0.004597618522835954,0.5122813552602842,0.0008374546667898203,0.0044690687876880715,0.8369453044375645,1.4859874205555088e-05,12.0,18.0,0.14437596817842277
synth-easy_gin_structFalse,0.034538200292354666,-0.15011093937245257,inf,0.005070596902723478,0.5801496605470927,0.0002398638957378303,0.005933808277982909,0.9256965944272446,3.6936283769727216e-08,9.0,18.0,0.14372168464044285
synth-structure_gin_structFalse,0.02489970933019134,0.08077702782244389,12.379757301767794,-0.0030397222030204537,0.4011441960831388,0.00477590716162442,0.012603685791167482,-0.8204334365325078,3.0420805277771525e-05,8.0,18.0,0.1323255702133924
