,overall_std,overall_cv,relative_stability,linear_slope,linear_r_squared,linear_p_value,avg_within_std,spearman_correlation,spearman_p_value,max_plateau_length,n_timesteps,score_range
synth-easy_gin_structFalse,0.011692494127347679,-0.057045789246730316,inf,0.0002811092693438102,0.44314167311607927,0.0003847863194839023,0.005304949529170793,0.8321739130434782,4.612623609765017e-07,20.0,24.0,0.058519975244841566
synth-structure_gin_structFalse,0.01139684457083462,0.03767809834473681,26.540617598331853,-0.00023089689741744926,0.3146831762125527,0.004348075009867822,0.007383700264078708,-0.7243478260869565,6.273725296044197e-05,13.0,24.0,0.06092541548364794
synth-feature_gin_structFalse,0.010799200279284589,-0.05242577878776792,inf,0.0002373355317266626,0.370295908647401,0.0016037595048834666,0.00539398562824971,0.7095652173913043,0.00010319687237483667,22.0,24.0,0.05721973231072605
synth-coupled_gin_structFalse,0.01174458003918096,0.07968998847350306,12.54862774051599,4.420797289549453e-05,0.010862575299018531,0.627920358962053,0.0097115895334738,-0.0017391304347826085,0.9935650421080594,12.0,24.0,0.046333027275681574
